고시년도,회차,개최일자,안건일련번호,소관부서,안건제목,심의결과,개요
2008,13,2008-08-20 0:00:00,11,주거정비과,"도시·주거환경정비기본계획변경
 (정비예정구역변경)",미심의,"○위치:성북구성북1동179-68일대
 ○내용:구역확장
 -면적: 9.9ha→12.8ha"
2008,13,2008-08-20 0:00:00,14,주건정비과,"도시·주거환경정비기본계획변경
 (정비예정구역변경)",미심의,"○위치:은평구갈현동503-22일대
 ○내용:구역해제
 -면적: 1.3ha"
2008,13,2008-08-20 0:00:00,3,시설계획과,"도시계획시설(방송통신시설)
 변경결정(폐지)",미심의,"○위치:노원구상계동723
 ○면적: 3,869.7㎡
 ○사유:공공기여방안추가로확보후 재심의"
2008,13,2008-08-20 0:00:00,4,시설계획과,도시관리계획(용도지역)변경결정,미심의,"○위치:송파구문정동280일원
 ○내용:용도지역변경
 -생산,자연녹지지역→유통상업지역
 -면적: 57,545㎡"
2008,13,2008-08-20 0:00:00,5,주거정비과,"도시·주거환경정비기본계획변경
 (정비예정구역변경)",미심의,"○위치:서대문구홍은2동8-1093일대
 ○내용:신규지정
 -면적: 2.5ha"
2008,13,2008-08-20 0:00:00,6,주거정비과,"도시·주거환경정비기본계획변경
 (정비예정구역변경)",미심의,"○위치:서대문구홍제3동8-50일대
 ○내용:구역확장및사업시행방식 변경
 -면적: 0.7ha→2.1ha
 주거환경개선→주택재개발"
2008,13,2008-08-20 0:00:00,8,시설계획과,"도시·주거환경정비기본계획변경
 (정비예정구역변경)",미심의,"○위치:성동구금호4가206-1일대
 ○내용:구역분할
 -면적: 3.9ha→3.4ha, 0.5ha"
2008,13,2008-08-20 0:00:00,9,시설계획과,"도시·주거환경정비기본계획변경
 (정비예정구역변경)",미심의,"○위치:성동구금호4가206-1일대
 ○내용:구역분할
 -면적: 3.9ha→3.4ha, 0.5ha"
2008,13,2008-08-20 0:00:00,13,주거정비과,"도시·주거환경정비기본계획변경
 (정비예정구역변경)",미심의,"○위치:마포구창전동27-19일대
 ○내용:구역축소
 -면적: 2.0ha→1.5ha"
2008,13,2008-08-20 0:00:00,7,주거정비과,"도시·주거환경정비기본계획변경
 (정비예정구역변경)",미심의,"○위치:관악구봉천3동1, 14일대
 ○내용:신규지정(2개소)
 -면적: 1번지(7.4ha), 4번지(3.1ha)"
2008,13,2008-08-20 0:00:00,10,주거정비과,"도시·주거환경정비기본계획변경
 (정비예정구역변경)",미심의,"○위치:성북구종암동10-1일대
 ○내용:구역확장및시업시행방식 변경
 -면적: 1.9ha→6.2ha
 주택재건축→주택재개발"
2008,13,2008-08-20 0:00:00,12,주거정비과,"도시·주거환경정비기본계획변경
 (정비예정구역변경)",미심의,"○위치:용산구효창동3일대
 ○내용:구역확장
 -면적: 1.5ha→1.7ha"
2009,1,2009-01-21 0:00:00,11,주거정비과,도시&#8228;주거환경정비기본계획변경(주택재건축정비예정구역),미심의,"○위치:관악구봉천동459-28일대
 ○내용:구역확장
 -면적: 1.5ha→2.2ha"
2009,1,2009-01-21 0:00:00,10,주거정비과,도시&#8228;주거환경정비기본계획변경(주택재건축정비예정구역),미심의,"○위치:관악구봉천동892-28일대
 ○내용:구역확장
 -면적: 1.1ha→1.6ha"
2005,10,2005-07-06 0:00:00,2,도시관리과,가락아파트지구개발기본계획(정비계획)변경결정,미심의,"ㅇ위치:송파구송파동151번지일원-면적: 117,715.5㎡"
2005,10,2005-07-06 0:00:00,3,도시관리과,이촌.원효아파트지구개발기본계획(정비계획)변경결정,미심의,"ㅇ위치:
 원효지구-원효로제2동일원
 이촌지구-이촌제2동일원
 -면적:원효지구- 27,117.3㎡
 이촌지구- 98,270.6㎡"
2005,10,2005-07-06 0:00:00,4,도시관리과,여의도아파트지구개발기본계획(정비계획)변경결정,미심의,"ㅇ위치:영등포구여의도동일원
 -면적: 9550,734.4㎡"
2012,18,2012-09-19 0:00:00,1,도시계획국도시정비과,"봉천1역세권장기전세주택도시
 환경정비정비계획수립및정비
 구역지정",미심의,"○위치:관악구봉천동944-1번지일원(37,552.5㎡)
 ○내용:주거복합(241세대),용적률499.2%, 30층이하"
2012,18,2012-09-19 0:00:00,3,도시계획국도시정비과,"염창역세권장기전세주택
 도시환경정비구역적정여부자문",미심의,"○위치:양천구목동524번지일원(64,881㎡)
 ○내용:정비구역범위설정적정여부"
2012,18,2012-09-19 0:00:00,2,도시계획국도시정비과,"충정로역세권장기전세주택
 도시환경정비구역적정여부자문",미심의,"○위치:중구중림동398-1번지일원(26,446㎡)
 ○내용:주정비구역범위설정적정여부"
2008,16,2008-10-01 0:00:00,12,주거정비과,"도시·주거환경정비기본계획변경
 (정비예정구역)",미심의,"○위치:중구신당동321일대
 ○내용:구역확장
 -면적: 2.4ha→5.9ha"
2008,16,2008-10-01 0:00:00,14,주거정비과,"도시·주거환경정비기본계획변경
 (정비예정구역)",미심의,"○위치:서대문구홍제동104-41일대
 ○내용:구역확장
 -면적: 2.0ha→2.7ha"
2001,4,2001-05-23 0:00:00,11,시설계획과,"도시계획시설(운동장)
 변경결정",미심의,"구로구오류동106번지일대
 -면적: 62,719→58,171㎡"
2001,4,2001-05-23 0:00:00,12,시설계획과,"자연경관지구안의건축물
 (학교)높이제한완화",미심의,"성북구안암동5가1-2번지
 (고려대학교)
 -학군단: 3층(12m)이하
 →3층(15.1m이하)"
2001,4,2001-05-23 0:00:00,13,시설계획과,도시계획시설(도로)변경결정,미심의,"구로구구로동552-8∼548-1
 번지
 -폭: 25→20m,연장: 503m"
2001,4,2001-05-23 0:00:00,15,시설계획과,"도시계획시설(운동장,주차장)
 변경결정",미심의,"중구을지로7가2-1번지
 -운동장: 92,587.1
 →88,434.1㎡
 -주차장: 3,921.1㎡"
2011,18,2011-11-02 0:00:00,6,주택공급과,제기1주택재건축정비구역결정,미심의,"○위치:동대문구제기동892-68번지일대
 ○내용:용도지역상향(제3종일반주거지역→준주거지역),예정법정상한용적률(498.83%)"
